"filename", "language", "Python", "JSON", "XML", "JavaScript", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/public/chemdoodle/samples/Transformer 3D - Nucleic Acid - 2OEY.html", "HTML", 0, 0, 0, 0, 0, 0, 37, 1, 2, 40
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/public/chemdoodle/samples/Transformer 3D - Ribbon - 1CRN.html", "HTML", 0, 0, 0, 0, 0, 0, 31, 0, 2, 33
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/public/chemdoodle/samples/Viewer 2D - Caffeine - ACS1996.html", "HTML", 0, 0, 0, 0, 0, 0, 36, 0, 3, 39
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/public/chemdoodle/src/ChemDoodleWeb-uis-unpacked.js", "JavaScript", 0, 0, 0, 20875, 0, 0, 0, 1794, 2460, 25129
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/public/chemdoodle/src/ChemDoodleWeb-unpacked.js", "JavaScript", 0, 0, 0, 22606, 0, 0, 0, 4053, 3507, 30166
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/public/chemdoodle/tests/ChemDoodleWeb-tests.js", "JavaScript", 0, 0, 0, 6485, 0, 0, 0, 76, 735, 7296
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/public/index.html", "HTML", 0, 0, 0, 0, 0, 0, 26, 23, 7, 56
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/public/manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/src/App.css", "CSS", 0, 0, 0, 0, 33, 0, 0, 0, 6, 39
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/src/App.test.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/src/components/MoleculeRenderer.js", "JavaScript", 0, 0, 0, 269, 0, 0, 0, 4, 65, 338
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/src/components/MoleculeRenderer2.js", "JavaScript", 0, 0, 0, 121, 0, 0, 0, 4, 27, 152
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/src/components/Searchbar.js", "JavaScript", 0, 0, 0, 108, 0, 0, 0, 4, 18, 130
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/src/components/molinfo.js", "JavaScript", 0, 0, 0, 92, 0, 0, 0, 0, 6, 98
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/src/components/ptable.json", "JSON", 0, 3542, 0, 0, 0, 0, 0, 0, 0, 3542
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/src/components/radii.json", "JSON", 0, 1300, 0, 0, 0, 0, 0, 0, 0, 1300
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/src/components/searchbar.css", "CSS", 0, 0, 0, 0, 177, 0, 0, 40, 26, 243
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/src/components/searchbar2.css", "CSS", 0, 0, 0, 0, 181, 0, 0, 55, 33, 269
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/src/index.css", "CSS", 0, 0, 0, 0, 158, 0, 0, 6, 25, 189
